ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Arazi H.,Kratochvil M.,25,46,6,3,2,6,7,6,,,,,2,1,Completed,,,1.6,2.2,1.55,2.2,1.5,2.1,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Carlsen K.,Black W.,153,160,7,6,6,7,6,0,,,,,2,1,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Chela J.I.,Delgado R.,70,92,6,1,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Draper S.,Sa A.,221,85,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Enqvist T.,Rios M.,24,39,6,0,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Golmard J.,Arthurs W.,50,77,6,4,6,0,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Henman T.,Fromberg R.,9,309,6,3,6,7,6,0,,,,,2,1,Completed,,,,,1.15,4.25,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Russell M.,37,87,7,6,7,6,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Llodra M.,Ferreira W.,89,62,6,3,3,6,6,3,,,,,2,1,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Martin A.,Vinciguerra A.,41,34,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Martin T.,Sampras P.,57,10,3,6,6,3,6,4,,,,,2,1,Completed,,,3.8,1.22,3,1.3,2.7,1.3,2.875,1.364
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Massu N.,Savolt A.,80,93,6,2,6,1,,,,,,,2,0,Completed,,,1.45,2.55,1.5,2.3,1.45,2.2,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Ilie A.,150,66,6,3,6,1,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Boutter J.,104,53,6,3,6,4,,,,,,,2,0,Completed,,,1.5,2.4,1.5,2.3,1.5,2.1,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Rusedski G.,Diaz J.,31,88,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/01,International,Outdoor,Hard,1st Round,3,Schalken S.,Kim A.,26,250,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,,
